"x","sgy2","sgy3","sgy4","sgy5","sgy6","sgy7","sgy8","sgy9","sgy10","sgy11","sgy12","sgdy2","sgdy3","sgdy4","sgdy5","sgdy6","sgdy7","sgdy8","sgdy9","sgdy10","sgdy11","sgdy12"
100022,74301.0285714287,66679.8095238095,62784.0952380952,60385.7855477856,58754.2307692308,57569.7873303168,56669.4179566564,55961.6028306059,55390.2765609676,54919.749068323,54524.9501449275,30006.2999999999,21433.9285714286,16670.6333333333,13639.8454545455,11541.3901098901,10002.4535714286,8825.70343137253,7896.70350877192,7144.67662337662,6523.36264822134,6001.49461538461
100019,108593.257142857,95259.0476190476,86165.9177489177,79971.3682983684,75542.0349650349,72234.0135746607,69675.6501547987,67640.593100398,65984.8836220987,64611.6062111801,63454.8600966184,20005.7999999999,17861.5714285714,15004,12730.5909090909,10991.7417582418,9645.25714285717,8580.5882352941,7721.28421052631,7014.74285714286,6424.53260869565,5924.53153846154
100022,100023.371428571,109548.380952381,103054.056277056,96059.9883449884,90231.0489510489,85540.4542986427,81752.8359133127,78656.507739938,76088.7705132396,73930.8782608696,72094.5976811594,0.999999999993834,10717.75,11669.95,10911.8818181818,9892.62087912089,8930.8535714286,8090.35049019606,7370.28245614034,6754.94935064935,6226.83102766798,5770.66538461538
100029,100025.057142857,100024.619047619,109117.554112554,106319.242424242,101422.748251748,96583.8941176472,92282.2321981423,88566.1738168951,85375.3896698267,82628.6124223602,80251.6570048309,1.99999999999444,1.03571428571793,6668.61666666666,8184.01818181818,8243.94505494506,7859.26428571431,7354.82843137254,6843.85087719298,6365.21428571429,5930.33695652173,5539.76384615385
100022,100026.542857143,100026.714285714,100025.324675325,108418.097902098,107718.181818182,104459.802714932,100643.606811145,96927.6855373728,93517.2706766917,90457.1416149068,87732.04,0.599999999989917,0.535714285720115,0.449999999993121,4546.88181818182,6045.74175824177,6430.28214285717,6374.2132352941,6141.88947368421,5845.63246753247,5534.8942687747,5231.92692307692
100029,100025.828571429,100025.904761905,100025.761904762,100024.990675991,107719.153846154,108261.961085973,106218.157894737,103298.116320212,100188.344230141,97167.1714285714,94342.1368115942,-1.10000000001294,-0.0714285714210645,0.433333333326177,0.50909090909108,3297.73626373627,4644.15357142859,5148.37990196077,5264.51403508772,5196.01688311688,5040.62154150197,4847.21923076923
100025,100025.6,100024.380952381,100025.03030303,100025.981351981,100025.517482517,107085.792760181,108385.94117647,107236.079168509,105060.751552795,102509.849689441,99889.177584541,-0.100000000010069,-0.357142857141488,0.233333333325875,0.263636363636432,0.258241758248512,2500.71785714286,3677.47303921568,4211.49649122807,4416.51038961039,4447.59486166007,4385.57076923077
100022,100023.114285714,100024.714285714,100024.987012987,100025.454545455,100025.965034965,100025.423529412,106528.721362229,108298.199469261,107807.144818568,106237.237267081,104179.88115942,-0.600000000005916,0.428571428571517,-0.266666666672991,-0.00909090908995319,0.0934065934134701,0.16071428570846,1961.20833333333,2983.01228070176,3507.20389610389,3755.73122529644,3846.98153846154
100025,100024.057142857,100024.761904762,100025.372294372,100025.046620047,100025.181818182,100026.100452489,100026.027863777,106041.70322866,108101.176201373,108100.829813665,107021.113043478,0.999999999998597,-0.392857142856205,0.0166666666614633,-0.309090909089202,-0.0549450549330922,-0.110714285721955,-0.193627450978724,1579.17192982456,2467.9974025974,2965.03063241107,3231.42384615384
100026,100027.028571429,100025.333333333,100024.852813853,100025.018648019,100025.244755245,100025.701357466,100025.405572755,100024.921716055,105615.866296175,107852.279503106,108219.085410628,0.299999999996723,0.107142857142939,-0.4166666666701,-0.0454545454520191,-0.456043956029314,-0.446428571433939,-0.227941176470357,-0.147368421049938,1298.89090909091,2075.4604743083,2538.98307692308
100028,100025.771428571,100026,100024.844155844,100025.055944056,100025.503496504,100024.38642534,100024.340557275,100024.43697479,100024.403399804,105242.534161491,107580.802898551,-0.400000000009788,-0.142857142855159,2.15986536015596e-12,-0.590909090907043,-0.554945054931424,-0.510714285721105,-0.33088235294072,-0.1736842105242,-0.154545454547667,1087.12154150198,1769.62692307692
100022,100024.742857143,100024.476190476,100025.748917749,100025.249417249,100023.888111888,100023.873303168,100023.356037152,100023.757629367,100023.753187316,100023.409937888,104913.338550725,-1.10000000000888,-0.285714285710889,-0.533333333327483,-0.700000000000751,-0.620879120865829,-0.378571428576613,-0.377450980392065,-0.301754385961436,-0.13246753246998,-0.0247035573123844,923.297692307691
100025,100022.6,100024.619047619,100024.606060606,100023.878787879,100023.272727273,100022.752941177,100023.269349845,100022.698805838,100022.713631906,100023.09689441,100023.528502415,-0.400000000011267,-1.21428571428143,-1.16666666666322,-0.590909090910047,-0.423076923065634,-0.425000000008228,-0.330882352940193,-0.28421052631266,-0.119480519483238,-0.0148221343880091,-0.03923076923142
100022,100024.914285714,100023.142857143,100022.168831169,100022.174825175,100022.531468532,100022.691402715,100022.114551084,100022.210084034,100022.128800261,100022.926708074,100023.20057971,-1.10000000001761,-1.67857142856887,-0.983333333333946,-0.627272727273615,-0.346153846144032,-0.350000000006997,-0.299019607842952,-0.103508771924703,-0.115584415586591,-0.120553359678897,-0.029230769231808
100026,100022.142857143,100021.095238095,100020.536796537,100021.002331002,100021.727272727,100021.883257919,100021.656346749,100021.64219372,100022.570120955,100022.367701863,100023.017004831,-2.40000000001135,-0.749999999999453,-0.68333333333735,-0.509090909091455,-0.472527472517762,-0.207142857151371,-0.0637254901959261,-0.0929824561360234,-0.10779220779375,-0.114624505923513,-0.116923076924627
100016,100018.314285714,100019.19047619,100020.32034632,100020.62004662,100020.657342657,100020.805429864,100021.517027864,100022.228217603,100022.024517816,100022.749068323,100022.490048309,-0.800000000006955,-0.499999999999964,-0.166666666673158,-0.454545454545071,-0.274725274717969,-0.078571428578853,0.0245098039215963,-0.0771929824527118,-0.0961038961054783,-0.105731225291611,-0.109999999999841
100016,100016.942857143,100019.19047619,100020.112554113,100020.368298368,100020.020979021,100020.648868778,100021.699690402,100022.046439628,100022.524681268,100022.234782609,100022.683478261,0.0999999999909457,0.142857142855516,-0.266666666675051,0.0363636363881068,0.0549450549505602,0.0357142857056559,-0.093137254901689,-0.00350877192551775,-0.0805194805211613,-0.0938735177822885,-0.0730769230767579
100023,100021.2,100020,100020,100019.874125874,100020.769230769,100021.409954751,100021.492260062,100022.162759841,100022.328211834,100022.519254658,100022.416231884,2.09999999998916,0.10714285714408,0.316666666656287,0.354545454564581,0.346153846157581,-7.25857873453171e-12,-2.65689017903207e-13,-0.0947368421010302,-0.0181818181831431,-0.0464426877443256,-0.0915384615385353
100023,100023.857142857,100021.952380952,100020.251082251,100021.002331002,100021.804195804,100021.895022625,100022.089783282,100021.941176471,100022.239947695,100022.556521739,100022.466280193,0.79999999998621,1.35714285714318,0.833333333319343,0.636363636379282,0.186813186814879,0.2214285714213,-0.0245098039220407,-0.0175438596449836,-0.05194805194933,-0.0286561264806466,-0.0130769230767507
100023,100021.714285714,100022.666666667,100023.108225108,100022.792540793,100022.41958042,100022.613574661,100022.427244582,100022.254754533,100022.281464531,100022.242236025,100022.277487923,0.299999999993008,1.49999999999967,1.3666666666564,0.427272727281442,0.390109890109888,0.103571428565609,0.149509803921407,0.0122807017585488,-0.0298701298721198,-0.0118577075073229,0.0553846153844786
100020,100022.057142857,100023.428571429,100025.12987013,100024.342657343,100023.58041958,100022.968325792,100022.764705882,100022.796550199,100022.304347826,100022.050931677,100022.477681159,1.4999999999908,0.857142857144371,0.599999999993486,0.781818181822957,0.24175824175692,0.257142857136755,0.117647058824333,0.100000000003836,0.0480519480501698,0.0691699604765417,0.00769230769220698
100026,100025.228571429,100025.666666667,100024.458874459,100025.268065268,100024.517482517,100023.574660634,100023.309597523,100022.777089783,100022.536122916,100022.608695652,100022.192463768,1.49999999998952,0.107142857145394,0.249999999996129,0.272727272726385,0.494505494507776,0.221428571424677,0.171568627451462,0.138596491231173,0.19350649350456,0.060276679844143,0.102307692307443
100029,100028.571428571,100025.428571429,100025.298701299,100024.265734266,100024.727272727,100024.573755656,100023.448916409,100022.972136223,100023.094148415,100022.686956522,100022.504541063,-0.200000000010307,0.250000000000523,-0.150000000005324,0.0545454545411685,0.230769230775359,0.324999999995682,0.223039215685991,0.270175438599927,0.135064935062746,0.211462450595057,0.146153846153134
100026,100024.628571429,100026.095238095,100024.54978355,100024.407925408,100024.146853147,100024.252488688,100023.981424149,100023.724900486,100023.108205296,100022.968944099,100023.072850242,-1.00000000000875,-0.464285714283731,-0.0166666666719272,-0.0545454545559903,-0.0329670329615703,0.228571428568244,0.411764705882739,0.200000000004028,0.277922077919925,0.222332015812906,0.209999999998967
100019,100022.942857143,100023.095238095,100024.445887446,100024.198135198,100023.79020979,100023.429864254,100024.390092879,100023.992038921,100023.535142203,100023.51552795,100022.925217391,-2.00000000000895,-0.714285714283072,-0.200000000003034,-0.10909090910535,0.0329670329736474,0.171428571424634,0.196078431373426,0.392982456144242,0.290909090906507,0.264822134389455,0.298461538461166
100026,100021.2,100022.095238095,100022.939393939,100023.596736597,100023.34965035,100024.008144797,100023.46130031,100024.071649712,100024.349133704,100023.455900621,100023.353043478,-1.41211019485797e-11,-0.749999999999263,-0.550000000001866,-0.0272727272921627,0.181318681325114,0.0428571428549146,0.205882352942643,0.305263157898898,0.355844155841714,0.368577075099915,0.379230769230426
100019,100023.542857143,100022.380952381,100021.9004329,100022.282051282,100023.937062937,100023.427149321,100023.721362229,100023.908005307,100023.921216084,100024.120496894,100024.540096618,0.599999999986314,-0.107142857143165,-0.250000000000231,-2.20332426139184e-11,6.78039960360202e-12,0.224999999997256,0.213235294118944,0.200000000027686,0.394805194801393,0.474308300396227,0.276923076922527
100026,100022.485714286,100023.095238095,100022.225108225,100022.96037296,100022.657342657,100023.690497738,100023.990712074,100023.630694383,100023.728015691,100025.070807453,100026.501449275,-0.300000000007308,0.642857142857622,0.500000000000476,-0.136363636361247,0.115384615390608,0.224999999998435,0.213235294119461,0.342105263180853,0.370129870126709,0.281620553360604,0.0807692307689944
100022,100023.628571429,100022.523809524,100024.458874459,100022.988344988,100023.055944056,100023.524886878,100023.665634675,100023.865546218,100024.972540046,100026.319254658,100028.437101449,1.09999999999424,0.714285714285622,0.400000000000002,0.4909090909124,0.19780219780941,0.128571428569352,0.382352941177204,0.415789473704833,0.216883116879751,-0.0741106719364302,-0.417692307692739
100023,100022.914285714,100025.523809524,100023.471861472,100024.456876457,100024.167832168,100023.283257919,100023.572755418,100025.228659885,100026.681268388,100028.50931677,100030.673816425,0.999999999988296,0.464285714284593,0.616666666666919,0.654545454549137,0.395604395610809,0.407142857141352,0.397058823531045,0.221052631597058,-0.12207792208136,-0.592885375492526,-1.17230769230797
